Address,Country,Coordinates,Address found
"Ambedkar Stadium, Delhi",in,"28.639035,77.24226589999999","J6QR+JW6, Bahadur Shah Zafar Marg, Feroze Shah Kotla, Vikram Nagar, Delhi, 110002, India"
"The Arena by Transtadia, Ahmedabad",in,"23.0106976,72.5993247","Kankaria Lake, The Arena (Abad Dairy), Kankaria Rd, opp. Gate No 3, Kankaria, Ahmedabad, Gujarat 380002, India"
"Mumbai Football Arena, Andheri, Mumbai",in,"19.1290125,72.8354227","35, Veera Desai Rd, Azad Nagar, Andheri West, Mumbai, Maharashtra 400053, India"
"Baichung Stadium, Namchi",in,"27.1635721,88.355199","Namchi, Sikkim 737126, India"
"Bakhshi Stadium, Srinagar",in,"34.0632594,74.8049417","4, Hurriyat Rd, Opposite State Bank of India, Iqbal Park, Rajbagh, Srinagar, Jammu and Kashmir 190008"
"Bangalore Football Stadium, Bangalore",in,"12.9686488,77.6112299","24, Anthony Nicholas St, Ashok Nagar, Bengaluru, Karnataka 560025, India"
"Vidyasagar Krirangan, Barasat",in,"22.7172985,88.4798785","PF8H+WX6, Kolkata - Basirhat Rd, Gupta Colony, Barasat, Kolkata, West Bengal 700124, India"
"Birsa Munda Athletics Stadium, Khelgaon, Ranchi",in,"23.3777393,85.3879765","Hotwar, Khelgaon, Ranchi, Jharkhand 834009, India"
"Birsa Munda Football Stadium, Indarwa, Ranchi",in,"23.3928155,85.3294597","Ranchi University, Morabadi, Ranchi, Jharkhand 834008, India"
"Chandrasekharan Nair Stadium, Thiruvananthapuram",in,"8.5048058,76.95062399999999","Mahatma Gandhi Rd, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695033, India"
"Cooperage Football Stadium, Mumbai",in,"18.9243733,72.8287041","Maharshi Karve Rd, Dr Ambedkar Statue Chowk Area, Nariman Point, Mumbai, Maharashtra 400021, India"
"Dr. Rajendra Prasad Football Stadium, Neemuch",in,"24.4595285,74.86222649999999","Nagar Palika Colony, Neemuch Chawni, Neemuch, Madhya Pradesh 458441, India"
"Duler Stadium, Mapusa",in,"15.5985101,73.81617829999999","HRX8+CF3, Duler Ground Rd, Dangui Colony, Mapusa, Goa 403507, India"
"East Bengal Ground, Maidan (Kolkata)",in,"22.5595398,88.34376379999999","H85V+RG6, Leslie Claudius Sarani, Maidan, Kolkata, West Bengal 700021, India"
