sr_no,Country,Continent,Dominant Color,Red,Saffron,Yellow,Green,Blue,LiBlue,Black,White,Distinct Colors,Flag has
1,Andorra,Europe,Red,35,1,26,0,32,0,0,4,5,Vertical
2,United Arab Emirates,Asia,Green,24,0,0,25,0,0,25,24,4,Horizontal
3,Afghanistan,Asia,Green,28,1,0,33,0,0,33,3,5,Vertical Country Text
4,Antigua Barbuda,North America,Red,50,0,5,0,0,10,25,7,5,
5,Albania,Europe,Red,87,0,0,0,0,0,12,0,2,Bird
6,Armenia,Asia,Red,33,33,0,0,33,0,0,0,3,Horizontal
7,Angola,Africa,Red,48,0,4,0,0,0,46,0,3,"Weapon, Agriculture Horizontal"
8,Argentina,South America,LiBlue,0,2,0,0,0,66,0,31,3,Sun Horizontal
9,Austria,Europe,Red,66,0,0,0,0,0,0,33,2,Horizontal
10,Australia,Oceania,Blue,9,0,0,0,79,0,0,11,3,Stars Union Flag
11,Azerbaijan,Asia,Green,31,0,0,33,0,33,0,1,4,"Stars, Crescent Horizontal"
12,Bosnia Herzegovina,Europe,Blue,0,0,25,0,70,0,0,4,3,
13,Barbados,North America,Blue,0,0,29,0,66,0,3,0,3,Emblem Vertical
14,Bangladesh,Asia,Green,20,0,0,79,0,0,0,0,2,Sun Circle
15,Belgium,Europe,Red,33,0,33,0,0,0,33,0,3,Vertical
16,Burkina Faso,Africa,Red,49,0,2,48,0,0,0,0,3,Horizontal
17,Bulgaria,Europe,Red,33,0,0,33,0,0,0,33,3,Horizontal
18,Bahrain,Asia,Red,67,0,0,0,0,0,0,32,2,
19,Burundi,Africa,Green,30,0,0,34,0,0,0,34,3,Stars Diagonal Cross
20,Benin,Africa,Green,30,0,29,40,0,0,0,0,3,Horizontal
21,Brunei Darussalam,Asia,Yellow,6,0,54,0,0,0,17,21,4,
22,Bolivia,South America,Red,33,0,33,33,0,0,0,0,3,Horizontal
23,Brazil,South America,Green,0,0,17,68,12,0,0,1,4,"Stars, Circle Mottos Text"
24,Bahamas,North America,LiBlue,0,0,21,0,0,57,21,0,3,Triangle Horizontal
25,Bhutan,Asia,Yellow,41,1,43,0,0,0,0,14,4,Animal
26,Botswana,Africa,LiBlue,0,0,0,0,0,74,16,8,3,Horizontal
27,Belarus,Europe,Red,64,0,0,29,0,0,0,6,3,
28,Belize,North America,Blue,17,0,0,5,54,0,1,21,5,
29,Canada,North America,Red,63,0,0,0,0,0,0,36,2,Plant Vertical
30,Congo,Africa,LiBlue,20,0,12,0,0,67,0,0,3,
31,Central African Rep,Africa,Yellow,16,0,21,20,19,0,0,20,5,
32,Congo,Africa,Red,33,0,33,33,0,0,0,0,3,
33,Switzerland,Europe,Red,77,0,0,0,0,0,0,22,2,Cross
34,Cote d Ivoire,Africa,Saffron,0,33,0,33,0,0,0,33,3,
35,Chile,South America,Red,50,0,0,0,15,0,0,34,3,Stars
36,Cameroon,Africa,Yellow,31,0,34,33,0,0,0,0,3,Stars Vertical
37,China,Asia,Red,97,0,2,0,0,0,0,0,2,Stars
38,Colombia,South America,Yellow,25,0,50,0,24,0,0,0,3,Horizontal
39,Costa Rica,North America,Red,33,0,0,0,33,0,0,33,3,Landscape Horizontal
40,Cuba,North America,Blue,20,0,0,0,48,0,0,30,3,"Stars, Triangle Horizontal"
41,Cabo Verde,Africa,Blue,8,0,1,0,74,0,0,16,4,
42,Cyprus,Asia,White,0,6,0,2,0,0,0,90,3,Plant
43,Czech Republic,Europe,Red,37,0,0,0,25,0,0,37,3,Triangle Horizontal
44,Germany,Europe,Red,33,0,33,0,0,0,33,0,3,Horizontal
45,Djibouti,Africa,Green,0,2,0,35,0,35,0,28,4,Triangle Horizontal
46,Denmark,Europe,Red,76,0,0,0,0,0,0,23,2,Cross
47,Dominica,North America,Green,8,0,8,66,0,0,8,8,5,Bird
48,Dominican,North America,Red,33,0,0,2,33,0,0,30,4,
49,Algeria,Africa,White,6,0,0,46,0,0,0,47,3,Crescent Vertical
50,Ecuador,South America,Yellow,26,1,47,1,22,0,1,0,6,Bird Horizontal
51,Estonia,Europe,LiBlue,0,0,0,0,0,33,33,33,3,Horizontal
52,Egypt,Africa,Red,33,0,1,0,0,0,33,31,4,Bird Horizontal Country Text
53,Western Sahara,Africa,Green,17,0,0,29,0,0,29,22,4,
54,Eritrea,Africa,Red,44,0,5,24,0,24,0,0,4,Plant Triangle Diagonal
55,Spain,Europe,Red,53,1,44,0,0,0,0,1,4,"Landscape, Crown Horizontal Mottos Text"
56,Ethiopia,Africa,Red,32,0,26,32,0,8,0,0,4,Horizontal
57,Finland,Europe,White,0,0,0,0,39,0,0,60,2,Cross
58,Fiji,Oceania,LiBlue,14,0,0,0,7,66,0,11,4,Animal Union Flag
